[-0.876342   -0.06558727 12.701976  ]	 [-0.8765383 -0.0799365 12.61395  ]	
[-0.9205773   0.02915247 11.429464  ]	 [-0.8850684   0.04015293 11.32757   ]	
[0.07204184 0.1158088  9.8090925 ]	 [0.1081992  0.05578398 9.793254  ]	
[ 0.70972836 -0.03260855 11.1619625 ]	 [ 0.6765486  -0.06760381 11.16809   ]	
[ 0.39573532 -0.05834489 12.697408  ]	 [ 0.3513778  -0.07360142 12.68794   ]	
[ 0.24042988 -0.06881826 14.197955  ]	 [ 0.2339692  -0.08123561 14.17794   ]	
[1.3045830e+00 3.7142783e-03 1.4862578e+01]	 [ 1.151469   0.1907075 14.84657  ]	
[ 2.414012    0.10930713 14.584821  ]	 [ 1.554675  1.32744  15.17654 ]	
[-0.12925021 -0.01417013  1.4564782 ]	 [-0.1299385 -0.0071893  1.457088 ]	
[-0.37495908 -0.03156501  3.0488245 ]	 [-0.3624858  -0.01762585  2.933742  ]	
[-0.6254082  -0.03275572  4.420837  ]	 [-0.6288531 -0.0280018  4.390734 ]	
[-0.7357748  -0.04678874  5.9127846 ]	 [-0.754106   -0.03816703  5.891036  ]	
[-0.9069498  -0.04729168  7.3991423 ]	 [-0.8619893  -0.04983948  7.390872  ]	
[-1.1163425  -0.01183043  7.360487  ]	 [-1.083797   -0.01734198  7.357368  ]	
[-0.970968   -0.02181052  6.0406647 ]	 [-0.9310403   0.02434928  5.868441  ]	
[-0.6439552   0.05079782  4.257764  ]	 [-0.643229    0.02261095  4.392247  ]	
[-0.67622286 -0.02571644  5.7872896 ]	 [-0.70169    -0.03350623  5.8286    ]	
[-0.6319307  -0.04204719  7.3508472 ]	 [-0.6322706  -0.04540694  7.358461  ]	
[-0.39377433 -0.0388736   8.89279   ]	 [-0.4070404  -0.05184457  8.884968  ]	
[ 0.04242176 -0.05421405 10.423562  ]	 [ 0.01798201 -0.05882546 10.39056   ]	
[ 0.54884595 -0.06698023 11.821919  ]	 [ 0.5495186  -0.07379803 11.83662   ]	
[ 0.30588573 -0.06455569 13.37495   ]	 [ 0.2908258 -0.0767756 13.33727  ]	
[-0.29139936 -0.07841007 14.839068  ]	 [-0.3073406  -0.08667359 14.80481   ]	
[-1.1582929  -0.09772913 15.974475  ]	 [-1.091055    0.02689213 15.59125   ]	
[-1.3788397   0.17603321 14.919095  ]	 [-1.272416   0.2101749 14.71596  ]	
[-1.6880189   0.01446505 13.705929  ]	 [-1.088775   0.9465373 13.74601  ]	
[ 1.0089653  -0.08855401 13.653985  ]	 [ 2.86258    0.3321039 13.40283  ]	
[ 3.5102115  -0.10014431 13.420849  ]	 [ 6.292898 -1.192158 11.53929 ]	
[-0.49611092  1.374334   10.960757  ]	 [0.6826682 3.479339  8.739441 ]	
[-9.9706322e-02  9.2560053e-04  1.4738665e+00]	 [-0.1234783  -0.00717941  1.447351  ]	
[-0.3350937  -0.03032584  3.011994  ]	 [-0.3460715  -0.01746932  2.927144  ]	
[-0.53862983 -0.02151203  4.386836  ]	 [-0.5596995  -0.02734886  4.408857  ]	
[-1.0288236 -0.0394157  5.86252  ]	 [-0.9748786  -0.04258598  5.816952  ]	
[-0.38979268 -0.0627176   7.4130754 ]	 [-0.419768   -0.04159067  7.391482  ]	
[-0.7789347  -0.04412548  8.846727  ]	 [-0.7585363  -0.05929212  8.84242   ]	
[-0.6251048   0.01318027  8.787939  ]	 [-6.129338e-01 -6.941049e-03  8.881998e+00]	
[-0.54089427  0.02041228  8.721974  ]	 [-5.233112e-01 -3.453950e-03  8.872174e+00]	
[-5.8816719e-01 -1.9278973e-03  8.7317648e+00]	 [-5.287342e-01 -4.028855e-03  8.855410e+00]	
[-0.62289786  0.03143264  8.816047  ]	 [-5.756762e-01 -4.837135e-03  8.830423e+00]	
